Plant_ID,Common_Name_of_Plant,,
P001,Gymnema (Gurmar),,
P002,Bitter Melon,,
P003,Fenugreek,,
P004,Cinnamon,,
P005,Aloe Vera,,
P006,Neem,,
P007,Jamun (Black Plum),,
P008,Amla (Gooseberry),,
P009,Turmeric,,
P010,Garlic,,
P011,Onion,,
P012,Ginseng (American),,
P013,Holy Basil (Tulsi),,
P014,Guduchi,,
P015,Bael (Bengal Quince),,
P016,Vijaysar,,
P017,Ivy Gourd,,
P018,Ginger,,
P019,Green Tea,,
P020,Stinging Nettle,,
P021,Prickly Pear Cactus,,
P022,Curry Leaves,,
P023,Banyan Tree Bark,,
P024,Flaxseed,,
P025,Stevia,,
P026,Ginkgo Biloba,,
P027,Milk Thistle,,
P028,Guava Leaves,,
P029,Pomegranate,,
P030,Moringa (Sajina),,
P031,Indian Kino Tree,,
P032,Periwinkle,,
P033,Kalmegh,,
P034,Common Bean,,
P035,Eucalyptus,,
P036,Chirata,,
P037,Black Cumin,,
P038,Peppermint,,
P039,Dandelion,,
P040,Okra (Lady Finger),,
P041,Coriander,,
P042,Red Clover,,
P043,Ashwagandha,,
P044,Asparagus,,
P045,Licorice,,
P046,Rosemary,,
P047,Sage,,
P048,Fennel,,
P049,Clove,,
P050,Saffron,,
